t,j1,j2,j3,j4,j5,j6
5.94867,-0.110968,0.264229,0.49708,0.48157,0.914563,-3.93457e-05
5.95856,-0.109664,0.264033,0.497337,0.481831,0.914065,-3.93666e-05
5.968,-0.108346,0.263839,0.497581,0.481974,0.91353,-3.93875e-05
5.97725,-0.107016,0.263645,0.497812,0.481995,0.912958,-3.94085e-05
5.98652,-0.105672,0.263453,0.49803,0.481893,0.912347,-3.94295e-05
5.99588,-0.104314,0.263262,0.498235,0.481665,0.911699,-3.94506e-05
6.00532,-0.102942,0.263072,0.498427,0.481308,0.911012,-3.94717e-05
6.01493,-0.101557,0.262884,0.498605,0.480821,0.910286,-3.94928e-05
6.02463,-0.100157,0.262696,0.498768,0.480201,0.909522,-3.9514e-05
6.03457,-0.0987429,0.262511,0.498918,0.479444,0.908719,-3.95352e-05
6.04461,-0.0973141,0.262326,0.499054,0.478549,0.907877,-3.95565e-05
6.05496,-0.095871,0.262144,0.499175,0.477513,0.906997,-3.95778e-05
6.06541,-0.0944128,0.261963,0.499281,0.476332,0.906077,-3.95992e-05
6.07614,-0.0929397,0.261784,0.499372,0.475005,0.905118,-3.96206e-05
6.08693,-0.0914517,0.261607,0.499449,0.473527,0.904121,-3.96421e-05
6.09795,-0.0899481,0.261432,0.49951,0.471896,0.903084,-3.96637e-05
6.10905,-0.088429,0.261259,0.499556,0.470109,0.902009,-3.96853e-05
6.1207,-0.086894,0.261088,0.499586,0.468162,0.900896,-3.9707e-05
6.13343,-0.0853431,0.26092,0.499601,0.466052,0.899744,-3.97288e-05
6.14763,-0.0837759,0.260755,0.4996,0.463776,0.898554,-3.97507e-05
6.1639,-0.0821924,0.260592,0.499583,0.461331,0.897326,-3.97727e-05
6.18341,-0.0805921,0.260432,0.49955,0.458711,0.896061,-3.97947e-05
6.20664,-0.0789748,0.260276,0.499501,0.455915,0.894758,-3.98169e-05
6.22854,-0.0773404,0.260122,0.499436,0.452938,0.89342,-3.98393e-05
6.25335,-0.0756885,0.259972,0.499355,0.449776,0.892045,-3.98617e-05
6.28506,-0.074019,0.259826,0.499257,0.446426,0.890635,-3.98843e-05
6.31249,-0.0723314,0.259683,0.499143,0.442883,0.88919,-3.9907e-05
6.3372,-0.0706257,0.259545,0.499012,0.439143,0.887712,-3.99299e-05
6.35973,-0.0689016,0.259411,0.498865,0.435203,0.886201,-3.99528e-05
6.38428,-0.0671587,0.259281,0.498702,0.431057,0.884658,-3.99758e-05
6.41384,-0.0653969,0.259157,0.498522,0.426702,0.883085,-3.99989e-05
6.44188,-0.0636158,0.259037,0.498325,0.422134,0.881482,-4.00222e-05
6.46699,-0.0618149,0.258923,0.498112,0.417347,0.879851,-4.00455e-05
