t,j1,j2,j3,j4,j5,j6
6.18456,0.0266885,0.294185,0.639302,1.25095,1.03525,1.40482e-06
6.21132,0.02446,0.294395,0.64043,1.25088,1.0361,1.40544e-06
6.2392,0.0222283,0.294614,0.641546,1.25079,1.03695,1.40607e-06
6.27281,0.0199933,0.29484,0.64265,1.25068,1.03782,1.40671e-06
6.30158,0.0177551,0.295075,0.643742,1.25055,1.0387,1.40734e-06
6.32992,0.0155136,0.295318,0.644821,1.25039,1.03959,1.40799e-06
6.35436,0.0132689,0.29557,0.645887,1.25021,1.0405,1.40863e-06
6.37933,0.0110209,0.29583,0.64694,1.25002,1.04142,1.40928e-06
6.40865,0.00876966,0.296098,0.647981,1.24979,1.04235,1.40993e-06
6.43622,0.00651516,0.296375,0.649008,1.24955,1.04329,1.41058e-06
6.45908,0.00425741,0.296661,0.650022,1.24928,1.04425,1.41124e-06
6.48077,0.00199641,0.296955,0.651022,1.249,1.04522,1.41191e-06
6.50591,-0.000267832,0.297257,0.652009,1.24868,1.0462,1.41257e-06
6.53372,-0.00253532,0.297569,0.652983,1.24835,1.04719,1.41324e-06
6.55851,-0.00480603,0.297889,0.653942,1.24799,1.0482,1.41391e-06
6.5853,-0.00707997,0.298217,0.654888,1.24762,1.04921,1.41459e-06
6.61734,-0.00935713,0.298555,0.655819,1.24721,1.05025,1.41527e-06
6.64391,-0.0116375,0.298901,0.656736,1.24679,1.05129,1.41595e-06
6.66771,-0.013921,0.299256,0.657639,1.24634,1.05235,1.41664e-06
6.69661,-0.0162077,0.29962,0.658527,1.24586,1.05341,1.41733e-06
6.73388,-0.0184976,0.299992,0.659401,1.24537,1.0545,1.41802e-06
6.76411,-0.0207906,0.300374,0.660259,1.24485,1.05559,1.41871e-06
6.79366,-0.0230868,0.300764,0.661103,1.2443,1.0567,1.41939e-06
6.82922,-0.025386,0.301163,0.661932,1.24373,1.05781,1.42008e-06
6.85807,-0.0276883,0.301571,0.662745,1.24314,1.05895,1.42076e-06
6.88448,-0.0299937,0.301989,0.663543,1.24252,1.06009,1.42144e-06
6.91595,-0.032302,0.302415,0.664325,1.24188,1.06125,1.42211e-06
6.95014,-0.0346134,0.30285,0.665091,1.24121,1.06241,1.42278e-06
6.99422,-0.0369277,0.303294,0.665841,1.24052,1.06359,1.42344e-06
7.0274,-0.0392449,0.303747,0.666575,1.2398,1.06479,1.4241e-06
7.05782,-0.0415651,0.304209,0.667293,1.23906,1.06599,1.42474e-06
7.0942,-0.043888,0.304681,0.667995,1.23829,1.06721,1.42538e-06
7.12341,-0.0462138,0.305161,0.668679,1.23749,1.06844,1.42601e-06
7.14969,-0.0485424,0.305651,0.669347,1.23667,1.06968,1.42664e-06
