t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
5.78249,1.49473,0.251789,0.912398,0.955487,3.08579,0.820957,
5.8148,1.49406,0.248536,0.911253,0.955889,3.0851,0.823437,
5.84254,1.4934,0.245283,0.91011,0.956292,3.08443,0.825906,
5.87438,1.49273,0.24203,0.908968,0.956696,3.08377,0.828365,
5.90077,1.49206,0.238776,0.907827,0.957099,3.08313,0.830812,
5.92462,1.4914,0.235523,0.906687,0.957504,3.08251,0.833248,
5.95201,1.49073,0.232269,0.90555,0.957909,3.08189,0.835672,
5.98113,1.49005,0.229015,0.904414,0.958314,3.08129,0.838085,
6.01603,1.48938,0.22576,0.903279,0.95872,3.08071,0.840486,
6.04401,1.48871,0.222506,0.902147,0.959127,3.08014,0.842876,
6.067,1.48803,0.21925,0.901016,0.959534,3.07958,0.845253,
6.08694,1.48736,0.215995,0.899887,0.959942,3.07904,0.847618,
6.10623,1.48668,0.212738,0.89876,0.960351,3.07852,0.849971,
6.12791,1.48601,0.209482,0.897635,0.960761,3.07801,0.852312,
6.15366,1.48533,0.206224,0.896512,0.961171,3.07751,0.854641,
6.18456,1.48465,0.202966,0.895391,0.961582,3.07703,0.856956,
6.21132,1.48398,0.199707,0.894272,0.961995,3.07656,0.85926,
6.2392,1.4833,0.196448,0.893155,0.962408,3.07611,0.86155,
6.27281,1.48262,0.193188,0.892041,0.962822,3.07568,0.863828,
6.30158,1.48194,0.189927,0.890928,0.963237,3.07526,0.866092,
6.32992,1.48127,0.186665,0.889819,0.963653,3.07485,0.868344,
6.35436,1.48059,0.183403,0.888711,0.96407,3.07446,0.870582,
6.37933,1.47991,0.180139,0.887607,0.964489,3.07408,0.872807,
6.40865,1.47924,0.176875,0.886504,0.964908,3.07372,0.875019,
6.43622,1.47856,0.173609,0.885405,0.965329,3.07338,0.877217,
6.45908,1.47789,0.170343,0.884308,0.965751,3.07305,0.879402,
6.48077,1.47721,0.167075,0.883213,0.966175,3.07273,0.881573,
6.50591,1.47654,0.163807,0.882122,0.9666,3.07243,0.88373,
6.53372,1.47587,0.160537,0.881033,0.967026,3.07215,0.885873,
6.55851,1.4752,0.157266,0.879947,0.967453,3.07188,0.888002,
6.5853,1.47453,0.153994,0.878864,0.967883,3.07163,0.890117,
6.61734,1.47386,0.15072,0.877785,0.968313,3.07139,0.892217,
6.64391,1.47319,0.147445,0.876708,0.968745,3.07117,0.894303,
6.66771,1.47252,0.144169,0.875634,0.969178,3.07096,0.896375,
6.69661,1.47186,0.140892,0.874564,0.969613,3.07077,0.898432,
6.73388,1.4712,0.137613,0.873497,0.970049,3.0706,0.900473,
6.76411,1.47054,0.134332,0.872433,0.970487,3.07044,0.9025,
6.79366,1.46988,0.131051,0.871373,0.970926,3.0703,0.904512,
6.82922,1.46922,0.127767,0.870316,0.971366,3.07018,0.906508,
6.85807,1.46857,0.124482,0.869263,0.971808,3.07007,0.908489,
6.88448,1.46791,0.121196,0.868213,0.972251,3.06997,0.910454,
6.91595,1.46726,0.117908,0.867167,0.972695,3.0699,0.912403,
6.95014,1.46662,0.114618,0.866125,0.973141,3.06984,0.914336,
6.99422,1.46597,0.111326,0.865087,0.973587,3.0698,0.916253,
7.0274,1.46533,0.108033,0.864052,0.974035,3.06977,0.918154,
7.05782,1.46469,0.104738,0.863021,0.974483,3.06976,0.920038,
7.0942,1.46405,0.101441,0.861995,0.974933,3.06977,0.921905,
7.12341,1.46342,0.0981419,0.860972,0.975383,3.0698,0.923755,
7.14969,1.46279,0.0948412,0.859954,0.975834,3.06985,0.925587,
7.1793,1.46216,0.0915386,0.85894,0.976285,3.06991,0.927403,
7.20452,1.46154,0.0882341,0.85793,0.976737,3.06999,0.9292,
7.22587,1.46092,0.0849275,0.856924,0.97719,3.07009,0.93098,
7.24706,1.4603,0.081619,0.855923,0.977642,3.0702,0.932741,
7.27166,1.45969,0.0783084,0.854926,0.978095,3.07034,0.934484,
7.30227,1.45908,0.0749957,0.853935,0.978547,3.07049,0.936208,
7.34191,1.45847,0.0716809,0.852947,0.979,3.07067,0.937914,
7.37214,1.45787,0.0683639,0.851965,0.979452,3.07086,0.9396,
7.39663,1.45727,0.0650448,0.850987,0.979903,3.07107,0.941267,
7.42297,1.45668,0.0617235,0.850014,0.980354,3.0713,0.942915,
7.45409,1.45609,0.0583999,0.849046,0.980804,3.07155,0.944542,
7.48072,1.45551,0.0550741,0.848083,0.981254,3.07182,0.94615,
7.50463,1.45493,0.051746,0.847126,0.981702,3.07212,0.947737,
7.52592,1.45436,0.0484155,0.846173,0.982149,3.07243,0.949304,
7.54837,1.45379,0.0450828,0.845226,0.982594,3.07276,0.950849,
7.57475,1.45322,0.0417476,0.844284,0.983038,3.07311,0.952374,
7.60493,1.45266,0.0384101,0.843348,0.983481,3.07349,0.953878,
7.64218,1.45211,0.0350701,0.842417,0.983921,3.07389,0.95536,
7.67187,1.45156,0.0317277,0.841492,0.984359,3.0743,0.95682,
7.69648,1.45102,0.0283829,0.840572,0.984796,3.07474,0.958258,
7.71795,1.45048,0.0250355,0.839659,0.985229,3.07521,0.959674,
7.74028,1.44995,0.0216857,0.838751,0.985661,3.07569,0.961067,
7.76607,1.44943,0.0183333,0.837849,0.986089,3.0762,0.962438,
7.79253,1.44891,0.0149784,0.836953,0.986515,3.07673,0.963786,
7.82202,1.44839,0.0116209,0.836064,0.986937,3.07728,0.965111,
7.85831,1.44789,0.00826078,0.83518,0.987357,3.07786,0.966412,
7.88819,1.44739,0.00489808,0.834303,0.987773,3.07846,0.96769,
7.91487,1.44689,0.00153276,0.833433,0.988186,3.07908,0.968944,
7.93776,1.44641,-0.0018352,0.832569,0.988595,3.07973,0.970174,
7.96038,1.44593,-0.00520581,0.831711,0.989,3.0804,0.97138,
7.98755,1.44546,-0.00857909,0.83086,0.989401,3.0811,0.972562,
8.02064,1.44499,-0.011955,0.830016,0.989799,3.08182,0.973719,
8.04854,1.44453,-0.0153337,0.829179,0.990191,3.08257,0.974852,
8.07551,1.44408,-0.0187151,0.828349,0.99058,3.08334,0.975959,
8.10674,1.44364,-0.0220991,0.827526,0.990964,3.08413,0.977042,
8.13485,1.4432,-0.0254859,0.82671,0.991343,3.08496,0.978099,
8.15861,1.44278,-0.0288754,0.825901,0.991717,3.0858,0.97913,
8.18398,1.44236,-0.0322677,0.8251,0.992086,3.08668,0.980136,
